cycle,naive_inf_norm,accumulator_inf_norm
1,0.015625,0.0
2,0.03125,0.0
3,0.03125,0.0
4,0.03125,0.0
5,0.03125,0.0
6,0.03125,0.0
7,0.03125,0.0
8,0.03125,0.0
9,0.03125,0.0
10,0.03125,0.0
11,0.0625,0.0
12,0.09375,0.0
13,0.125,0.0
14,0.15625,0.0
15,0.1875,0.0
16,0.21875,0.0
17,0.25,0.0
18,0.28125,0.0
19,0.3125,0.0
20,0.34375,0.0
21,0.375,0.0
22,0.40625,0.0
23,0.4375,0.0
24,0.46875,0.0
25,0.5,0.0
26,0.53125,0.0
27,0.5625,0.0
28,0.59375,0.0
29,0.625,0.0
30,0.65625,0.0
31,0.6875,0.0
32,0.71875,0.0
33,0.75,0.0
34,0.78125,0.0
35,0.8125,0.0
36,0.84375,0.0
37,0.875,0.0
38,0.90625,0.0
39,0.9375,0.0
40,0.96875,0.0
41,1.0,0.0
42,1.03125,0.0
43,1.0625,0.0
44,1.09375,0.0
45,1.125,0.0
46,1.15625,0.0
47,1.1875,0.0
48,1.21875,0.0
49,1.25,0.0
50,1.28125,0.0
51,1.3125,0.0
52,1.34375,0.0
53,1.375,0.0
54,1.40625,0.0
55,1.4375,0.0
56,1.46875,0.0
57,1.5,0.0
58,1.53125,0.0
59,1.5625,0.0
60,1.59375,0.0
61,1.625,0.0
62,1.65625,0.0
63,1.6875,0.0
64,1.71875,0.0
65,1.75,0.0
66,1.78125,0.0
67,1.8125,0.0
68,1.84375,0.0
69,1.875,0.0
70,1.90625,0.0
71,1.9375,0.0
72,1.96875,0.0
73,2.0,0.0
74,2.03125,0.0
75,2.0625,0.0
76,2.09375,0.0
77,2.125,0.0
78,2.15625,0.0
79,2.1875,0.0
80,2.21875,0.0
81,2.25,0.0
82,2.28125,0.0
83,2.3125,0.0
84,2.34375,0.0
85,2.375,0.0
86,2.40625,0.0
87,2.4375,0.0
88,2.46875,0.0
89,2.5,0.0
90,2.53125,0.0
91,2.5625,0.0
92,2.59375,0.0
93,2.625,0.0
94,2.65625,0.0
95,2.6875,0.0
96,2.71875,0.0
97,2.75,0.0
98,2.78125,0.0
99,2.8125,0.0
100,2.84375,0.0
101,2.875,0.0
102,2.90625,0.0
103,2.9375,0.0
104,2.96875,0.0
105,3.0,0.0
106,3.03125,0.0
107,3.0625,0.0
108,3.09375,0.0
109,3.125,0.0
110,3.15625,0.0
111,3.1875,0.0
112,3.21875,0.0
113,3.25,0.0
114,3.28125,0.0
115,3.3125,0.0
116,3.34375,0.0
117,3.375,0.0
118,3.40625,0.0
119,3.4375,0.0
120,3.46875,0.0
121,3.5,0.0
122,3.53125,0.0
123,3.5625,0.0
124,3.59375,0.0
125,3.625,0.0
126,3.65625,0.0
127,3.6875,0.0
128,3.71875,0.0
129,3.75,0.0
130,3.78125,0.0
131,3.8125,0.0
132,3.84375,0.0
133,3.875,0.0
134,3.90625,0.0
135,3.9375,0.0
136,3.96875,0.0
137,4.0,0.0
138,4.03125,0.0
139,4.0625,0.0
140,4.09375,0.0
141,4.125,0.0
142,4.15625,0.0
143,4.1875,0.0
144,4.21875,0.0
145,4.25,0.0
146,4.28125,0.0
147,4.3125,0.0
148,4.34375,0.0
149,4.375,0.0
150,4.40625,0.0
151,4.4375,0.0
152,4.46875,0.0
153,4.5,0.0
154,4.53125,0.0
155,4.5625,0.0
156,4.59375,0.0
157,4.625,0.0
158,4.65625,0.0
159,4.6875,0.0
160,4.71875,0.0
161,4.75,0.0
162,4.78125,0.0
163,4.8125,0.0
164,4.84375,0.0
165,4.875,0.0
166,4.90625,0.0
167,4.9375,0.0
168,4.96875,0.0
169,5.0,0.0
170,5.03125,0.0
171,5.0625,0.0
172,5.09375,0.0
173,5.125,0.0
174,5.15625,0.0
175,5.1875,0.0
176,5.21875,0.0
177,5.25,0.0
178,5.28125,0.0
179,5.3125,0.0
180,5.34375,0.0
181,5.375,0.0
182,5.40625,0.0
183,5.4375,0.0
184,5.46875,0.0
185,5.5,0.0
186,5.53125,0.0
187,5.5625,0.0
188,5.59375,0.0
189,5.625,0.0
190,5.65625,0.0
191,5.6875,0.0
192,5.71875,0.0
193,5.75,0.0
194,5.78125,0.0
195,5.8125,0.0
196,5.84375,0.0
197,5.875,0.0
198,5.90625,0.0
199,5.9375,0.0
200,5.96875,0.0
